# t,bfl,bfr,brl,brr,wfl,wfr,wrl,wrr,roll,pitch
6.160000000000000142e+00,7.916964386777765317e-02,7.803906362784734929e-02,7.927881584561988215e-02,7.883452655882872140e-02,-1.633637888603670096e-03,-1.535003770692558445e-03,-2.236570724887851358e-03,-1.541533624929397606e-03,-3.561229608918055067e-01,-1.099735340378159565e-01
6.179999999999999716e+00,7.939674145394215454e-02,7.820446351820792286e-02,7.932447771735207098e-02,7.916462286746642207e-02,-1.497422609842709307e-03,-1.690717360273884945e-03,-2.245077785135871085e-03,-1.494098558992799225e-03,-2.876054656946321897e-01,-1.042944661093463538e-01
6.200000000000000178e+00,7.968642662384385622e-02,7.840547189033400532e-02,7.941914900805964461e-02,7.957960102884827081e-02,-1.358407164819299545e-03,-1.864961127063875096e-03,-2.270760331703803453e-03,-1.423202705816837416e-03,-2.199156353477732528e-01,-9.989370762115751257e-02
6.219999999999999751e+00,8.020358382847884993e-02,7.866239629465729410e-02,7.964232983165528412e-02,8.008341595205994978e-02,-1.164696988230344565e-03,-2.073912363597385511e-03,-2.318569201606134056e-03,-1.328081791217381596e-03,-1.774783924175031835e-01,-9.148534046253385676e-02
6.240000000000000213e+00,8.075110751241756923e-02,7.892803487401719997e-02,7.993090478872522109e-02,8.068220436124158568e-02,-9.871664603040945785e-04,-2.277686607601227264e-03,-2.411330251149309406e-03,-1.214641245346294307e-03,-1.471509457120514508e-01,-9.333767916167103051e-02
6.259999999999999787e+00,8.144032031217207646e-02,7.923659995876489170e-02,8.027108801990029407e-02,8.138627407357534871e-02,-7.659124037419744180e-04,-2.477413479464410373e-03,-2.570739684170875172e-03,-1.057337073474592937e-03,-1.337716290523855156e-01,-9.836765582152287579e-02
6.280000000000000249e+00,8.225845625420277751e-02,7.960533633886711369e-02,8.065362448117607830e-02,8.216599718605295533e-02,-4.970948201347032136e-04,-2.668827815367747630e-03,-2.766695069469402024e-03,-8.716711071129340516e-04,-1.302540918341055787e-01,-1.026059421034409974e-01
6.299999999999999822e+00,8.315091851233584463e-02,7.999510475461955872e-02,8.107551249854617892e-02,8.305233155274381607e-02,-1.611242576043392383e-04,-2.844870806329509449e-03,-3.000777737438318354e-03,-6.678861535259310311e-04,-1.248476278090768776e-01,-1.181180945148281175e-01
6.320000000000000284e+00,8.404892014228861064e-02,8.035505582785307244e-02,8.151234101970253332e-02,8.403366261329672793e-02,2.378761164153440910e-04,-3.023744611029645368e-03,-3.234248215453705555e-03,-4.160069752729110559e-04,-1.109131869269500137e-01,-1.438432648374325107e-01
6.339999999999999858e+00,8.506322607072161479e-02,8.068642826350420905e-02,8.196316780789623946e-02,8.512164478691713887e-02,8.408100311521025938e-04,-3.177576825076400963e-03,-3.437380154072924854e-03,-9.584714292251023116e-05,-8.231905887890486606e-02,-1.822821977766554136e-01
6.360000000000000320e+00,8.624748518975602907e-02,8.091975974448191444e-02,8.236980365221571732e-02,8.627182877912283054e-02,1.895790799045247998e-03,-3.263584270039143753e-03,-3.619950548707829424e-03,2.078248611095297183e-04,-1.671487621136557439e-02,-2.547348631491255788e-01
6.379999999999999893e+00,8.752200061914044982e-02,8.112406674122388250e-02,8.262924365211481159e-02,8.752397467190840830e-02,3.334520798594940716e-03,-3.273478515455629373e-03,-3.769484939615784513e-03,5.937075228665648907e-04,1.054865020610164100e-01,-3.447635169014167666e-01
6.400000000000000355e+00,8.884330332408885145e-02,8.123424994963376888e-02,8.281886036398714013e-02,8.883966633283851833e-02,5.109257897828616002e-03,-3.247710662558814243e-03,-3.872552613936194876e-03,9.923565706012917043e-04,2.770879373813930902e-01,-4.612319970717305151e-01
6.419999999999999929e+00,9.014559108855041414e-02,8.128318852488151947e-02,8.290155039951618843e-02,9.014501786077896983e-02,7.158757621979296160e-03,-3.214124609796725762e-03,-3.950069528518448253e-03,1.279200714303350278e-03,5.152128606019209522e-01,-6.021729497695674782e-01
6.440000000000000391e+00,9.132301371608088358e-02,8.130486792229506265e-02,8.291080827632826833e-02,9.138010625220487071e-02,9.366508242966770786e-03,-3.168812745967912459e-03,-3.980743894818648126e-03,1.365751192325456026e-03,8.267436823879898977e-01,-7.675304703214019808e-01
6.459999999999999964e+00,9.247195327960490430e-02,8.130182908251104568e-02,8.287930239275864697e-02,9.254245004838873578e-02,1.179260238531025864e-02,-3.132756362969366798e-03,-3.971894005291048968e-03,1.233036364303465721e-03,1.208083315906228750e+00,-9.578981603117430188e-01
6.480000000000000426e+00,9.355889599588126937e-02,8.134566606273388456e-02,8.281422622280690260e-02,9.359230873940160844e-02,1.433525509738585446e-02,-3.119868815341885621e-03,-3.936348646292796294e-03,8.245587977373444732e-04,1.658766197579429669e+00,-1.164062704135119919e+00
6.500000000000000000e+00,9.455128508836641021e-02,8.134048287596107318e-02,8.269726507736925580e-02,9.456789788994252044e-02,1.700020136082859568e-02,-3.142367052436086799e-03,-3.901803139395393361e-03,2.027134959209468679e-04,2.169953454764726342e+00,-1.393265160885540421e+00
6.520000000000000462e+00,9.538361715013324305e-02,8.131258505895647137e-02,8.251418572613407332e-02,9.553448784678553185e-02,1.962960412615433886e-02,-3.162546585635996749e-03,-3.831799232496678476e-03,-4.310780640929337548e-04,2.711853215278557716e+00,-1.624559903940316019e+00
6.540000000000000036e+00,9.611767747758903635e-02,8.127142280201415936e-02,8.231409823876735532e-02,9.646096036613374669e-02,2.199234410425245090e-02,-3.143078831984155719e-03,-3.625737661495494202e-03,-7.656323794464486854e-04,3.198292920584128396e+00,-1.807150698994578031e+00
6.560000000000000497e+00,9.677360923736309795e-02,8.110625461912442102e-02,8.210304220530671715e-02,9.732407674242378459e-02,2.420875463833676439e-02,-3.142216444470651016e-03,-3.359879368006218892e-03,-9.184204716111560307e-04,3.639409257207787185e+00,-1.966656727931850535e+00
6.580000000000000071e+00,9.715220390737945577e-02,8.088120063891522660e-02,8.187534783144133355e-02,9.800201032274830082e-02,2.596391240828824221e-02,-3.126709272634368292e-03,-3.103447288464324105e-03,-1.006243208844223580e-03,4.014489056574068293e+00,-2.101991152015505460e+00
6.600000000000000533e+00,9.729358628289330735e-02,8.069228616368898099e-02,8.163778184523703962e-02,9.845283759000281187e-02,2.729021467717432717e-02,-3.098994093023842850e-03,-2.865278735750112493e-03,-1.131047841535306325e-03,4.336271494607049526e+00,-2.207504546481059648e+00
6.620000000000000107e+00,9.735374148325548482e-02,8.053428581927934982e-02,8.140612949285791489e-02,9.871151847050378680e-02,2.832220439168260315e-02,-3.076392341294944405e-03,-2.657063152460503730e-03,-1.285236599989438705e-03,4.603738015632027114e+00,-2.283677339387511829e+00
6.640000000000000568e+00,9.739395654985144590e-02,8.045583279217868866e-02,8.123467102375489524e-02,9.888544456013224904e-02,2.913513766480295072e-02,-3.043509672719432041e-03,-2.483097503814035711e-03,-1.440949131213835332e-03,4.822135098752359461e+00,-2.339483765669531312e+00
6.660000000000000142e+00,9.732504606741890218e-02,8.047452413399344695e-02,8.110153744254702812e-02,9.889885070922382893e-02,2.953769075694033172e-02,-3.013891078416208735e-03,-2.343258832350283288e-03,-1.571045312525259224e-03,4.967601105090232672e+00,-2.358351771315360779e+00
6.679999999999999716e+00,9.696197459803057583e-02,8.049864063439229889e-02,8.105797666475801633e-02,9.861137962204813423e-02,2.919042691744049359e-02,-2.998317934336490465e-03,-2.234181708446185410e-03,-1.685060365788328823e-03,4.984640834123401198e+00,-2.328657921668887631e+00
6.700000000000000178e+00,9.649210123128401650e-02,8.050544710806040172e-02,8.106837710653108653e-02,9.827905181734696016e-02,2.855539642408977397e-02,-3.010477839513709536e-03,-2.183205224254636256e-03,-1.747224230525468852e-03,4.940607458420783971e+00,-2.285924569927814343e+00
6.719999999999999751e+00,9.584976776424289358e-02,8.050416983856403808e-02,8.107481171877586879e-02,9.772394661626439272e-02,2.749485923756430847e-02,-3.015779547712225950e-03,-2.180018812711612131e-03,-1.780903775101552733e-03,4.807749936925823420e+00,-2.213943222832088775e+00
6.740000000000000213e+00,9.518752058287310858e-02,8.048958214859293359e-02,8.105199759946971061e-02,9.690684366337599942e-02,2.619021342440502192e-02,-3.026944189882294078e-03,-2.195928080843637109e-03,-1.791523726903238717e-03,4.591833420831181733e+00,-2.105417205191072227e+00
6.759999999999999787e+00,9.429361664820065658e-02,8.048843793567067584e-02,8.105824226568386637e-02,9.588800326435312216e-02,2.440939282412327507e-02,-3.025496284385545409e-03,-2.212180251555048716e-03,-1.772419144972611077e-03,4.295317647451155629e+00,-1.965961419945498445e+00
6.780000000000000249e+00,9.330767234154460632e-02,8.047021123327990910e-02,8.111200411102406638e-02,9.476278393426090796e-02,2.230794961365194229e-02,-3.027629299686942360e-03,-2.268251585283511534e-03,-1.700568881529217202e-03,3.921867790334992332e+00,-1.807885976670323691e+00
6.799999999999999822e+00,9.221654151152137990e-02,8.052439490498636276e-02,8.116298491291518147e-02,9.348939520980203977e-02,1.982023018537556330e-02,-3.026123619230349643e-03,-2.345931825490206457e-03,-1.593161283225251468e-03,3.484947175564271582e+00,-1.615376685112567046e+00
6.820000000000000284e+00,9.103812333896063591e-02,8.061239769625019869e-02,8.123636399599987179e-02,9.205925058434295816e-02,1.696073514344769925e-02,-3.037124605923206128e-03,-2.431117595922512725e-03,-1.455374713040729490e-03,2.978244191869667823e+00,-1.389118438715658765e+00
6.839999999999999858e+00,8.975470026635984366e-02,8.068372303334757356e-02,8.128776271029312939e-02,9.062067254191435994e-02,1.382109284792098006e-02,-3.073942344844132063e-03,-2.538306217452674513e-03,-1.179694729596132002e-03,2.423546688793151827e+00,-1.138530752585046324e+00
6.860000000000000320e+00,8.844084082728236040e-02,8.070209499065617020e-02,8.139029992585175566e-02,8.917085634936509908e-02,1.051308243102503509e-02,-3.113005736497528181e-03,-2.627488246999598598e-03,-7.853374904723715855e-04,1.815016073920090012e+00,-8.738245048330898213e-01
6.879999999999999893e+00,8.712973764544207356e-02,8.071071485736332207e-02,8.144269606375381665e-02,8.770107033047346012e-02,7.102507802543581161e-03,-3.153095659485349866e-03,-2.726605105220807762e-03,-2.566687194327406385e-04,1.170814483189898780e+00,-5.881612982609595308e-01
6.900000000000000355e+00,8.569141917311012824e-02,8.078676105564794319e-02,8.142585765638085671e-02,8.616503249014974275e-02,3.680144134597253258e-03,-3.181183242317184301e-03,-2.851829216725564747e-03,3.922508477200922772e-05,5.866389254805349784e-01,-3.182559258941450864e-01
6.919999999999999929e+00,8.436704709099110411e-02,8.086616978357015484e-02,8.137230473362526417e-02,8.470410706744188611e-02,7.597348133972295359e-04,-3.204036289213011562e-03,-3.107988708213316881e-03,-1.441097645483377376e-04,1.283813435849392448e-01,-1.190176160710109260e-01
6.940000000000000391e+00,8.355029124716097100e-02,8.074079311465090503e-02,8.114001132580667131e-02,8.331923697518975325e-02,-1.525988154565786209e-03,-3.154602314509695471e-03,-3.258997697476617716e-03,1.017966125053809678e-04,-3.654697200213088415e-01,9.859850976430876990e-02
6.959999999999999964e+00,8.263086157848070767e-02,8.022622515330393722e-02,8.064523894477892973e-02,8.204904866138301722e-02,-2.188413237750111429e-03,-2.756728290257904473e-03,-3.262931833436209100e-03,-5.094228236161499335e-05,-5.703372517111835460e-01,1.332951217772764818e-01
6.980000000000000426e+00,8.166184417880002766e-02,7.969187305452310466e-02,8.005442433110579459e-02,8.098144120729923456e-02,-2.407870477932855940e-03,-2.217786552439340170e-03,-3.095959020823851882e-03,-4.773054304276977411e-05,-6.722239980384041580e-01,1.335403543454302677e-01
7.000000000000000000e+00,8.076889658506247738e-02,7.935990153536574832e-02,7.962671292590195460e-02,8.010137823401608514e-02,-2.467827453693220707e-03,-1.788088974547411697e-03,-2.790782315332192981e-03,-2.619048367562826218e-04,-6.511069431594379564e-01,1.182821287887443062e-01
