time_ms,FL_target_x_mm,FL_target_z_mm,FR_target_x_mm,FR_target_z_mm,RL_target_x_mm,RL_target_z_mm,RR_target_x_mm,RR_target_z_mm,FL_actual_x_mm,FL_actual_z_mm,FR_actual_x_mm,FR_actual_z_mm,RL_actual_x_mm,RL_actual_z_mm,RR_actual_x_mm,RR_actual_z_mm,roll_deg,pitch_deg,FR_minus_RL_z_documented_axis_mm,RL_first_swing_tilt_sensitivity_min_mm,RL_first_swing_tilt_sensitivity_max_mm
1402,-27.5214706873487,16.02624496088996,-5.148583848085142,0.060860905047824265,-2.503596179204398,0.025112252259706924,-24.444800605220614,15.97436120201498,-36.452576907210016,13.155216308450637,1.8188825858429791,2.941937428877356,6.167071358368581,2.459493495867951,-31.50392627004625,14.305301404194184,-0.4,-0.7,6.189807229841665,-15.10981146759277,-6.2846129116654605
1422,-25.57067384015385,16.11883065758313,-6.5530831230463935,0.056300879192117126,-3.7324090881082905,0.043434304184103434,-22.50002025603387,16.095123171564598,-33.73115116429107,13.43125799570001,1.0136823080416357,2.9393310635316414,4.990742634700618,2.3402954126569564,-29.263061472651646,15.057255854262555,0.3,-0.7,4.810632809716261,-15.53519580850038,-6.633903183375284
1442,-23.157934789255098,15.876378784549686,-7.954209673931622,0.08124927833914886,-5.470458426751645,0.08518126778149504,-20.55725199614114,16.091421859056126,-31.079068384335468,13.698996811434341,-0.228742437898527,2.9397454845558335,3.814284511537008,2.2278528747837756,-27.0386350404887,15.838835283397994,1.0,-0.7,3.450182692702239,-17.17135153013509,-6.923102713051368
1462,-21.015991285663173,16.08137467742331,-9.707594475508701,0.12017048888353365,-7.7635766463879925,0.08575032563334917,-18.82164217139051,16.038108577507288,-28.440647509253488,14.002184675601118,-1.4941698222291355,2.946841250733634,1.9118064402769974,1.9611635841101789,-24.83105659734536,16.649779507335595,1.3,-0.7,3.1238877247782293,-19.129831237981872,-7.421429684348252
1482,-18.9469642971076,15.930923829994365,-11.659161775514487,0.0466220719004401,-9.694261113348896,0.031053941449366018,-16.755419758115536,15.90867867410814,-25.816389095720538,14.343282612779687,-2.759542684819621,2.960763983197695,-0.025580275506892347,1.7737664590655455,-22.641612182397658,17.522519552449058,2.0,-0.7,1.906630591400102,-22.317551000716445,-7.851085055065793
1502,-16.68700209668575,16.02010741142075,-13.061522431441624,0.1107947115938368,-11.2677120493887,0.049505034853902785,-15.359561678179645,15.920898384027799,-23.206789432027975,14.71829729080351,-4.02482100503529,2.9815101278261036,-1.956846623632158,1.607485811780038,-21.106872657950444,17.843871989807123,2.6,-0.7,0.8935846951902554,-24.596823505162334,-7.840334000364532
1521,-14.432722038504957,16.069820197313707,-15.219334184321031,-0.05800530831431838,-13.752565661566907,-0.07327367413356711,-13.107269643010872,15.977956817654098,-20.640166441182938,15.044868931657046,-5.226711390680483,3.0075357115651458,-3.7903068134981788,1.4699424109573533,-19.780338038855206,18.063553263506158,3.1,-0.5,-1.3015560035046918,-26.35881388646283,-6.779114286795007
1542,-12.382004210040376,16.057698911622566,-16.825954510407108,-0.093551521219426,-15.676696563171749,0.008873290265776212,-11.719942337119038,16.017013654213304,-18.338128380004676,15.058590989593071,-6.556287604363581,3.0289631090203164,-5.815212918412721,1.3410480497730026,-18.318369637214143,18.316732246997912,3.7,-0.5,-2.3079897787493255,-28.49370862123024,-5.39802968266731
1561,-10.666744119941118,16.087966754702546,-18.23075563552437,0.02082919411064421,-17.80373678891828,-0.020351367581633584,-10.336079444884849,16.06998770213214,-16.285855244297707,15.080550204755196,-7.846815920629469,3.0752757257645342,-7.645743248381242,1.2453288824988973,-16.99950510993556,18.55514674340586,4.2,-0.4,-3.810002162511844,-30.237797666736427,-4.297805866952303
1581,-8.812217098834646,15.8508033430622,-19.840479141759985,0.014956646952099528,-19.71746605896149,-0.021864026811396764,-8.812215906864902,15.850805513258583,-14.131872443264887,15.130309627044813,-9.20615725606927,3.135845058751391,-10.108511851113777,1.1093045487556852,-15.615267356813733,18.81566332688378,4.6,-0.3,-5.023749173542854,-31.70044730297873,-3.610443476139813
1601,-7.245173294511659,16.087656209142,-21.8007920629793,0.059003301814714026,-21.84020817697102,-0.006464461062130611,-7.245172122406496,16.087658401946676,-11.98458896931484,15.195962278412702,-10.564842933514978,3.2045035092839456,-12.728902950205761,0.962764037724495,-14.227819039968365,18.80813821163138,5.0,-0.2,-6.208765455286342,-32.8013039795191,-2.771640747685683
1621,-5.211642235946362,16.108263353201604,-23.061527576682366,0.052453905682744995,-23.959062502748985,-0.02216407979850621,-5.729245294893631,15.963817689663484,-9.844240342411492,15.289318108946029,-11.922823293748664,3.2812535426433587,-15.350558630535332,0.8545045071698676,-13.46843466573089,18.559955690021418,5.3,-0.1,-7.217322333213858,-33.29030080913049,-1.991753622463177
1641,-3.7010592994285716,16.05855017867891,-24.676105210038823,0.11797453085349296,-25.36986193706972,-0.03472298733636636,-4.359610239876716,16.074228481008408,-8.003263998609983,15.395633467581202,-13.280048714551572,3.363708616217098,-17.9697346965495,0.7867824540963853,-12.780575363677881,18.28582965764554,5.3,-0.1,-6.968571426060804,-32.85178230199884,-2.025952258773611
1661,-2.1886662530329613,15.915738609018417,-26.3579538654726,-0.11164005088747098,-27.483296772689624,-0.06448622596388898,-3.5048988733290267,15.939942786968544,-6.429985603939037,15.356712367565931,-14.642074857156185,3.4136186512960243,-20.586094767831632,0.7595149337207979,-12.0933135622249,18.016466437742434,5.3,-0.1,-6.904035840841982,-32.38672199771009,-2.0380994481525305
1681,-1.011160721423876,15.902662373696252,-27.622916408482023,-0.0748831452411225,-29.245145893614794,-0.01301423923336098,-2.326483555262798,15.919724787737136,-4.870916283341881,15.326985134911029,-15.23074436935029,3.424531561259214,-23.19930284652272,0.7628669725894127,-11.406657147660093,17.7594319808609,5.3,-0.1,-6.928695873264848,-31.88456865066544,-2.023412714793893
