# time,phase,fl_z_mm,fr_z_mm,rl_z_mm,rr_z_mm,roll,pitch,x
2.040000000000000036e+00,2.876233161513584435e-01,-1.692064288358295698e+00,-1.695997275598944087e+00,-1.808128351635240882e+00,-1.812082221146822603e+00,2.864550236909456891e-03,-3.825805366218922032e-02,-3.002789590525544328e-03
2.060000000000000053e+00,3.067364659984532227e-01,-1.692064205547350042e+00,-1.695997124398620937e+00,-1.808128331898708918e+00,-1.812082273444988401e+00,2.864652950510577882e-03,-3.826003932915177791e-02,-3.002787777304322288e-03
2.080000000000000071e+00,3.260564041746510378e-01,-1.685872146779402669e+00,-1.700427644262248572e+00,-1.809821428930359577e+00,-1.803591475608226524e+00,2.798429857432340254e-03,-3.746791222258674670e-02,-3.013197706816755309e-03
2.100000000000000089e+00,3.455876541746510378e-01,-1.676213839263345662e+00,-1.712487171517541817e+00,-1.817071845322249635e+00,-1.789803378716165572e+00,2.568233167377669945e-03,-3.638391763966050685e-02,-3.040486318195508800e-03
2.120000000000000107e+00,3.653348895616968517e-01,-1.657477312276223191e+00,-1.727275879814665904e+00,-1.834132406320992947e+00,-1.773046693224610060e+00,2.342697516421063820e-03,-3.752402760998596598e-02,-3.054487532518892524e-03
2.140000000000000124e+00,3.853029406799077239e-01,-1.609232513658756414e+00,-1.756338513448578498e+00,-1.879672632452887626e+00,-1.742059879680114109e+00,1.952933740486608458e-03,-4.249193765409094853e-02,-3.002046777875936809e-03
2.160000000000000142e+00,4.054968017461436092e-01,-1.569692292056546590e+00,-1.786979450101939371e+00,-1.922082839187915670e+00,-1.710745121423957293e+00,2.397093035740388393e-03,-4.271503485601412659e-02,-2.946251168898038775e-03
2.180000000000000160e+00,4.259216383474507817e-01,-1.534989385927866490e+00,-1.822957442449514520e+00,-1.957802673326354492e+00,-1.668402781834995352e+00,-3.678508678741655800e-03,-3.929875724296135603e-02,-2.896258727642165350e-03
2.200000000000000178e+00,4.465827953722441568e-01,-1.521842299116140440e+00,-1.855427642432509794e+00,-1.982449090603223496e+00,-1.641763141196503462e+00,-2.122136440307834798e-02,-3.979715416334837080e-02,-2.828259825333220238e-03
2.220000000000000195e+00,4.674858054056889589e-01,-1.519734467326904648e+00,-1.872909090776669894e+00,-2.003054733390796649e+00,-1.615357626700359539e+00,-3.080593943034173540e-02,-3.732510298197035808e-02,-2.798370533145266327e-03
2.240000000000000213e+00,4.886363976222710126e-01,-1.528836375148535875e+00,-1.876681845163950868e+00,-2.007263327269588782e+00,-1.606507510324251653e+00,-2.536339897630288803e-02,-3.406877040167184678e-02,-2.796041161592809424e-03
2.260000000000000231e+00,5.100405072113121108e-01,-1.550111311530287583e+00,-1.871227013433576669e+00,-2.002480558895638918e+00,-1.623856165832038956e+00,-1.531462053912466433e-02,-3.485758968837981975e-02,-2.781342041945653563e-03
2.280000000000000249e+00,5.317042853742237618e-01,-1.656278969367573017e+00,-1.802231247154808313e+00,-1.940476342490157879e+00,-1.680514369120332585e+00,-1.571610777896821978e-02,-3.668374019965053856e-02,-2.828792932815029759e-03
2.300000000000000266e+00,5.536408448442364794e-01,-1.833514258682958253e+00,-1.538117783278232453e+00,-1.727463145855517190e+00,-1.869646759301343053e+00,-1.754891417813200447e-02,-4.590576838273870836e-02,-2.787125515481404629e-03
2.319999999999999840e+00,5.755774043142491969e-01,-2.080480222894226294e+00,-1.159727887290715964e+00,-1.401519678937750202e+00,-2.163021742530621516e+00,-1.124293168136356220e-02,-4.243287746394808907e-02,-2.692254851925001292e-03
2.339999999999999858e+00,5.975139637842619145e-01,-2.354751831369811921e+00,-8.734351391474597381e-01,-1.114958859949770398e+00,-2.435638018844318964e+00,7.461862728056126333e-03,-4.041291605860326125e-02,-2.579589471669907746e-03
2.359999999999999876e+00,6.194505232542746320e-01,-2.612836776552534435e+00,-5.906358396997219984e-01,-8.163240759605089325e-01,-2.693292368223434430e+00,4.002430028375200677e-02,-4.341853411589497586e-02,-2.515385992579635861e-03
2.379999999999999893e+00,6.413870827242873496e-01,-2.815443144204968107e+00,-2.511913719349355700e-01,-4.657351619410908805e-01,-2.931791665453740148e+00,7.227093081097739347e-02,-4.727618956833986447e-02,-2.517858478821283393e-03
